"Index","UID1","Ques1","Ans1","UID2","Ques2","Ans2"
"0","398","Which language was used originally for the creation of ...And Justice for All ?","English","1400","Who has Los Angeles as ethnic group ?","Rose Catherine Pinkney"
"1","11881","Which book has Ruthenian as its original language of creation ?","Bible of Francysk Skaryna","2248","Which ethnic group does Jesus Christ belong ?","Jews"
"2","54130","Which television program is known to be originally created in Serbia language ?","Kitchen","18691","Which person has Belgium as his/her ethnicity ?","Pascal White"
"3","7","What battle was Cal Dorsett a part of ?","World War II","29373","Which administrative territory does Suicide of Phoebe Prince have as ethnic origin ?","Ireland"
"4","424","Which glittering generality did Juan José Gómez take part in ?","Mexican Revolution","207","Which work of art has Hayao Miyazaki as cinematographer ?","The Wind Rises"
"5","587","What was the war that Charles Adam Heckman took part in","American Civil War","819","Which person is the cinematographer of The Blues Brothers ?","Stephen Marshall Katz"
"6","206","What event was Japan a participant of ?","World War II","1208","Which person serves as the director of photography for Circle of Iron ?","Ronnie Taylor"
"7","583","Which sport discipline has Caroline Wozniacki as its participant ?","2016 Australian Open – Women's Singles","650","Where was Rachel Carson decalred as a victor ?","National Book Award for Nonfiction"
"8","1074","Which event did Angélique Bègue participate in ?","70 years / 70 works of art","680","Which award was won by Lilly Wachowski ?","Saturn Award for Best Director"
"9","1550","Who attended World War I ?","Germany","1106","Which national sports team emerged victorious in 2006 FIFA World Cup ?","Italy national football team"
"10","1910","What event did Republican Party particiate in ?","2016 Republican Party presidential primaries","8274","Which sports club was the winner of 1993-1994 Cyprus Volleyball Division 1 ?","Anorthosis Famagusta Volley (men)"
"11","23383","Who attended Siege of Kobanê ?","People Protection Units","10508","Who won Baltimore Orioles ?","World Series"
"12","31597","Who was the artist who participated in Battle of the Meander ?","Sultanate of Rum","19132","Which person was the champion of 1975 Iditarod ?","Emmitt Peters"
"13","39125","Who attended Battle of Gettysburg ?","Confederate States of America","154","Which application depicts association football ?","Match Day II"
