answer,answer_sentence,question,question_entity_label,question_id,question_relation
Sumi Yukawa,Sumi Yukawa is the spouse of Hideki Yukawa,Who is the spouse of Hideki Yukawa ?,Hideki Yukawa,2,P26
male,Claude Mouton-Raimbault's sex is male.,What is the sex of Claude Mouton-Raimbault ?,Claude Mouton-Raimbault,3,P21
association football player,Luis Quijanes is a association football player.,What does Luis Quijanes do for a living ?,Luis Quijanes,5,P106
male,Luis Quijanes sex is male,What is the sex of Luis Quijanes ?,Luis Quijanes,6,P21
World War II,world war ii cal dorsett a part of,What battle was Cal Dorsett a part of ?,Cal Dorsett,7,P607
male,Sterjo is a male.,Which sex does Sterjo Spasse have ?,Sterjo Spasse,8,P21
Tirana,Tirana is the place of death.,Which city is the place of death of Sterjo Spasse ?,Sterjo Spasse,9,P20
Zoë Mode,a profession produced Zumba Kids Zoë Mode,Which profession produced Zumba Kids ?,Zumba Kids,11,P178
Unreal Engine,Zumba Kids is powered by Unreal Engine.,Which programming tool is Zumba Kids powered by ?,Zumba Kids,12,P408
Brasília,Brasília is the capital of Brazil.,Which city is known as the capital of Brazil ?,Brazil,13,P36
Françoise Rosay,Francoise Rosay had a child names Bernard Farrel.,Which female person has a child named Bernard Farrel ?,Bernard Farrel,14,P25
athletics,Etimoni Timuani was part of athletics.,What was the type of sport that Etimoni Timuani was a part of ?,Etimoni Timuani,15,P641
Athletics at the 2016 Summer Olympics,Etimoni Timuani compete in Athletics at the 2016 Summer Olympics.,Which sport discipline did Etimoni Timuani compete in ?,Etimoni Timuani,16,P1344
Perth,The demise of Nathaniel McLenaghan occurred in Perth.,Where did the demise of Nathaniel McLenaghan occur ?,Nathaniel McLenaghan,18,P20
male,male sex does Roman Spitko belong.,Which sex does Roman Spitko belong to ?,Roman Spitko,19,P21
football,Egecan Cevir was a part of the sport of football.,What was the sport that Egecan Çevir was a part of ?,Egecan Çevir,21,P641
literature,thier associated field of occupation literature,Which activity has writer as thier associated field of occupation ?,writer,26,P425
Italian,Riccardo Forster is capable of writing Italian.,Which language is Riccardo Forster capable of writing ?,Riccardo Forster,29,P1412
Republican Party,Dean Clukey affiliated with Republican Party,Which party is Dean Clukey affiliated with ?,Dean Clukey,32,P102
Maine,Maine belongs to the jurisdiction of a member of the Maine State Senate in the USA,Which US administrative territory belongs to jurisdiction of member of the State Senate of Maine ?,member of the State Senate of Maine,34,P1001
United States of America,Maine belongs to the administrative territory of The United States of America.,Which administrative territory does Maine belong to ?,Maine,35,P17
Portuguese alphabet,Portuguese alphabet is the alphabet used.,Which alphabet is utilized as the script for Portuguese ?,Portuguese,39,P282
association football player,Jan Lechabe is an association football player.,Which occupation has Jan Lechaba as his/her 's career ?,Jan Lechaba,40,P106
Eurasia,Leipzig is located in Eurasia,Which geographic location is Leipzig located in ?,Leipzig,41,P30
San Cristóbal de las Casas,Frans Blom expired at San Cristobal de las Casas.,Where did the expiration of Frans Blom occur ?,Frans Blom,43,P20
Blom,frans blom surname is blom.,Who has the surname Frans Blom ?,Frans Blom,44,P734
Denmark,Copenhagen is situated in Denmark.,Which political territory is Copenhagen situated in ?,Copenhagen,45,P17
Kharkiv,Joseph Schillinger was born in Kharkiv.,Where was Joseph Schillinger born ?,Joseph Schillinger,46,P19
natural causes,Natural causes killed Joseph.,What situation did Joseph Schillinger die in ?,Joseph Schillinger,47,P1196
Buenos Aires,Buenos Aires is the birthplace of Cecilia Rognoni.,Which city is the birthplace of Cecilia Rognoni ?,María Cecilia Rognoni,49,P19
female,Cecilia Rognoni is female.,Which sex does Cecilia Rognoni belong to ?,María Cecilia Rognoni,50,P21
Michalski,Michalski is the name associated.,Which name is associated with Krzysztof Michalski ?,Krzysztof Michalski,51,P734
association football player,He is an association football player.,What does Krzysztof Michalski do for a living ?,Krzysztof Michalski,52,P106
