answer,answer_sentence,question,question_entity_label,question_id,question_relation
Sumi Yukawa,sumi yukawa is the spouse of hideki yukawa,Who is the spouse of Hideki Yukawa ?,Hideki Yukawa,2,P26
male,claude mouton-raimbault's sex is male.,What is the sex of Claude Mouton-Raimbault ?,Claude Mouton-Raimbault,3,P21
association football player,luis quijanes is a association football player.,What does Luis Quijanes do for a living ?,Luis Quijanes,5,P106
male,luis quijanes sex is male,What is the sex of Luis Quijanes ?,Luis Quijanes,6,P21
World War II,world war ii cal dorsett a part of,What battle was Cal Dorsett a part of ?,Cal Dorsett,7,P607
male,sterjo is a male.,Which sex does Sterjo Spasse have ?,Sterjo Spasse,8,P21
Tirana,tirana is the place of death.,Which city is the place of death of Sterjo Spasse ?,Sterjo Spasse,9,P20
Zoë Mode,a profession produced zumba kids zoë mode,Which profession produced Zumba Kids ?,Zumba Kids,11,P178
Unreal Engine,zumba kids is powered by unreal engine.,Which programming tool is Zumba Kids powered by ?,Zumba Kids,12,P408
Brasília,brasília is the capital of brazil.,Which city is known as the capital of Brazil ?,Brazil,13,P36
Françoise Rosay,francoise rosay had a child names bernard farrel.,Which female person has a child named Bernard Farrel ?,Bernard Farrel,14,P25
athletics,etimoni timuani was part of athletics.,What was the type of sport that Etimoni Timuani was a part of ?,Etimoni Timuani,15,P641
Athletics at the 2016 Summer Olympics,etimoni timuani compete in athletics at the 2016 summer olympics.,Which sport discipline did Etimoni Timuani compete in ?,Etimoni Timuani,16,P1344
Perth,the demise of nathaniel mclenaghan occurred in perth.,Where did the demise of Nathaniel McLenaghan occur ?,Nathaniel McLenaghan,18,P20
male,male sex does roman spitko belong.,Which sex does Roman Spitko belong to ?,Roman Spitko,19,P21
football,egecan cevir was a part of the sport of football.,What was the sport that Egecan Çevir was a part of ?,Egecan Çevir,21,P641
literature,thier associated field of occupation literature,Which activity has writer as thier associated field of occupation ?,writer,26,P425
Italian,riccardo forster is capable of writing italian.,Which language is Riccardo Forster capable of writing ?,Riccardo Forster,29,P1412
Republican Party,dean clukey affiliated with republican party,Which party is Dean Clukey affiliated with ?,Dean Clukey,32,P102
Maine,maine belongs to the jurisdiction of a member of the maine state senate in the usa,Which US administrative territory belongs to jurisdiction of member of the State Senate of Maine ?,member of the State Senate of Maine,34,P1001
United States of America,maine belongs to the administrative territory of the united states of america.,Which administrative territory does Maine belong to ?,Maine,35,P17
Portuguese alphabet,portuguese alphabet is the alphabet used.,Which alphabet is utilized as the script for Portuguese ?,Portuguese,39,P282
association football player,jan lechabe is an association football player.,Which occupation has Jan Lechaba as his/her 's career ?,Jan Lechaba,40,P106
Eurasia,leipzig is located in eurasia,Which geographic location is Leipzig located in ?,Leipzig,41,P30
San Cristóbal de las Casas,frans blom expired at san cristobal de las casas.,Where did the expiration of Frans Blom occur ?,Frans Blom,43,P20
Blom,frans blom surname is blom.,Who has the surname Frans Blom ?,Frans Blom,44,P734
Denmark,copenhagen is situated in denmark.,Which political territory is Copenhagen situated in ?,Copenhagen,45,P17
Kharkiv,joseph schillinger was born in kharkiv.,Where was Joseph Schillinger born ?,Joseph Schillinger,46,P19
natural causes,natural causes killed joseph.,What situation did Joseph Schillinger die in ?,Joseph Schillinger,47,P1196
Buenos Aires,buenos aires is the birthplace of cecilia rognoni.,Which city is the birthplace of Cecilia Rognoni ?,María Cecilia Rognoni,49,P19
female,cecilia rognoni is female.,Which sex does Cecilia Rognoni belong to ?,María Cecilia Rognoni,50,P21
Michalski,michalski is the name associated.,Which name is associated with Krzysztof Michalski ?,Krzysztof Michalski,51,P734
association football player,he is an association football player.,What does Krzysztof Michalski do for a living ?,Krzysztof Michalski,52,P106
association football player,jacob mellis' was a association football player.,Which occupation has Jacob Mellis as his/her 's career ?,Jacob Mellis,53,P106
