"Index","UID1","Ques1","Ans1","UID2","Ques2","Ans2"
"0","191","Which information was used originally for the creation of Gribiche ?","","11199","Which person authored Harvey, John ?","John Knox Laughton"
"1","758","Which language was used originally for the creation of Sequel to ‘Wreck-It Ralph’ Hits Theaters on March 9, 2018 ?","English","11354","Who authored The Divine Comedy ?","Dante Alighieri"
"2","1721","Which information is the original language of creation of The Girl from Piccadilly ?","","11996","Who was the writer of Occupational safety and health guidelines for chemical hazards ?","National Institute for Occupational Safety and Health"
"3","3419","Which language was used originally for the creation of Role of membrane association and Atg14-dependent phosphorylation in beclin-1-mediated autophagy ?","English","13874","Which collectable is written by Académie française ?","Dictionnaire de l'Académie française"
"4","5397","Which language was used originally for the creation of Notitia Parliamentaria, Or, An History of the Counties, Cities, and Boroughs in England and Wales ?","English","14923","Who wrote K-On! ?","Kakifly"
"5","30755","Which language was used originally for the creation of Notitia Parliamentaria, Or, An History of the Counties, Cities, and Boroughs in England and Wales ?","English","15548","Which person authored Daily Lives of High School Boys ?","Yasunobu Yamauchi"
"6","41357","Which language was used originally for the creation of Notitia Parliamentaria, Or, An History of the Counties, Cities, and Boroughs in England and Wales ?","English","18031","Which person authored Lavender and Old Lace ?","Myrtle Reed"
"7","59968","Which language was used originally for the creation of Notitia Parliamentaria, Or, An History of the Counties, Cities, and Boroughs in England and Wales ?","English","18446","Who authored A Fighting Man of Mars ?","Edgar Rice Burroughs"
"8","11640","What is considered to be the original language of creation of For Her Brother's Sake ?","","18748","Which statement is written by Zeno of Elea ?","Zeno's paradoxes"
"9","11881","Which book has Ruthenian as its original language of creation ?","Bible of Francysk Skaryna","19616","Which person authored Judicial Politics and Urban Revolt in Seventeenth-Century France ?","Sharon Kettering"
"10","14697","Which language was used originally for the creation of The PFA footballers' who's who 2008-09 ?","English","19865","Which person authored Starship Titanic ?","Douglas Adams"
"11","15517","Which language was used originally for the creation of The PFA footballers' who's who 2008-09 ?","English","20880","Who wrote The PFA footballers' who's who 2008-09 ?","Barry Hugman"
"12","54130","Which television program is known to be originally created in Serbia language ?","Kitchen","21304","Who authored The Cricket in Times Square ?","George Selden"
"13","56846","What was originally created in Old Church Slavonic language ?","Life of Alexander Nevsky","21540","Who authored Emma in Winter ?","Penelope Farmer"
"14","7","What battle was Cal Dorsett a part of ?","World War II","21601","Who authored Catsomy, le chat qui dérape?","Jérémy Taburchi"
"15","424","Which glittering generality did Juan José Gómez take part in ?","Mexican Revolution","22362","Which statute was written by Matteo Renzi ?","Italian constitutional reform, 2016"
"16","587","What was the war that Charles Adam Heckman took part in","American Civil War","22941","Which person authored A Crown of Swords ?","Robert Jordan"
"17","1549","Which battle did Edward Willis take part in ?","World War I","24184","Which book is Henry William Wilberforce an author of ?","The Parochial System"
"18","3884","Which person was Battle of San Marcial a part of ?","Francisco de Longa","24319","Which work of art has Frank Tashlin as its author ?","The Bear That Wasn't"
"19","5661","Which armed conflict did Umberto Cagni take part in ?","Italo-Turkish War","25143","Which person authored Shakugan no Shana ?","Yashichiro Takahashi"
"20","11772","Which war did Jean de Pange take part in ?","World War II","25351","What is the literary work written by France Prešeren ?","Baptism on the Savica"
"21","12178","Which event did Carl Gustav Clodt von Jürgensburg take part in ?","Russo-Turkish War (1787–1792)","25775","Who penned Dictionary of American Naval Aviation Squadrons Volume I: The History of VA, VAH, VAK, VAL, VAP and VFA Squadrons ?","Roy A. Grossnick"
"22","14644","What was the glittering generality that José García Valseca took part in","Mexican Revolution","25899","What is the article written by Christopher James Sampson ?","Protocol Evaluating the effectiveness of a school-based group programme for parents of children at risk of ADHD: the 'PArents, Teachers and CHildren WORKing Together (PATCHWORK)' cluster RCT protocol"
"23","14832","Which military campaign did Fridrihs Bošs take part in ?","Latvian War of Independence","27116","Who penned Yahya Hassan ?","Yahya Hassan"
"24","16085","What was was Tadeusz Różycki-Kołodziejczyk a part of ?","World War I","29555","Who authored Invisible Man ?","Ralph Ellison"
"25","23924","What was was Jean-Baptiste Budes, Comte de Guébriant a part of ?","Thirty Years' War","30446","Who authored LaBrava ?","Elmore Leonard"
"26","24602","Which event did José Pascual de Zayas y Chacón take part in ?","Napoleonic Wars","31171","Which person authored Boku wa Tomodachi ga Sukunai ?","Yomi Hirasaka"
"27","32678","What was was Fénelon François Germain Passaga a part of ?","World War I","34937","Which work of art was written by Maxine Doyle ?","Sleep No More"
"28","42836","What was the armed conflict that Armand-Octave-Marie d’Allonville took part in","Franco-Prussian War","38106","Which periodical literature is written by Wally Wood ?","Witzend"
"29","206","What event was Japan a participant of ?","World War II","40215","Which comic format has Kenichi Muraeda as its author ?","Kamen Rider Spirits"
"30","583","Which sport discipline has Caroline Wozniacki as its participant ?","2016 Australian Open – Women's Singles","40681","Who authored Ore no Imōto ga Konna ni Kawaii Wake ga Nai ?","Hideyuki Kurata"
"31","622","Which election was Republican Party a participant of ?","2016 Republican Party presidential primaries","42483","Who wrote Gakuen Heaven ?","You Higuri"
"32","1074","Which event did Angélique Bègue participate in ?","70 years / 70 works of art","44486","Who wrote The Ministry of Truth ?","Christian Kracht"
"33","1550","Who attended World War I ?","Germany","45250","Who wrote Crow Girl ?","Erik Axl Sund"
"34","57571","Who attended World War I ?","Ottoman Empire","46564","Which journalism genre has Mao Zedong as its author ?","Report on an Investigation of the Peasant Movement in Hunan"
"35","1910","What event did Republican Party particiate in ?","2016 Republican Party presidential primaries","46865","Who authored Noise: The Political Economy of Music ?","Jacques Attali"
"36","31391","What event did Republican Party particiate in ?","2016 Republican Party presidential primaries","52767","Which person authored Little Drac ?","Martin Waddell"
"37","33132","What event did Republican Party particiate in ?","2016 Republican Party presidential primaries","54984","Which communication was written by United Nations Educational, Scientific and Cultural Organization ?","Declaration of Principles on Tolerance"
"38","5555","Which person did 2002 Yukon Quest participate in ?","George Carroll","57198","Who penned The Voyage of the Beagle ?","Charles Darwin"
"39","5583","Which activity did France participate in ?","CEPHEUS","57543","Who authored Baka and Test ?","Kenji Inoue"
"40","8552","Which sporting event did United States men's national soccer team participate in ?","football at the 1972 Summer Olympics","58821","Which sources of law is written by Charles de Gaulle ?","Constitution of France"
"41","10037","Which communication has Barack Obama as its participant ?","second televised debate between Barack Obama and John McCain","59263","Who penned Sétimo?","André Vianco"
"42","10912","Which former country was a participant of World War I ?","Ottoman Empire","63967","Who authored The Walking Dead ?","Robert Kirkman"
"43","11870","Which German presidential election has Markus Lewe as its participant ?","2009 German presidential election","1200","What is the record label of Beryl Davis ?","Hindsight Record Company"
"44","12829","Which sport competition was Swiss national football team a participant of ?","Austria v Switzerland (1954)","1349","Who sponsored the recoding of Tiffany ?","SM Entertainment"
"45","15937","Which Badminton at the Asian Games was Sung Han-kuk a participant of ?","Badminton at the 1986 Asian Games – Men's singles","1571","Which release has association football as its record label ?","Yeovil True"
"46","22747","Which recurring event has Bosnia and Herzegovina as its participant ?","Eurovision Song Contest 1996","24830","Which release has association football as its record label ?","Yeovil True"
"47","22938","Which German presidential election did Mechthild Ross-Luttmann participate in ?","2009 German presidential election","43288","Which release has association football as its record label ?","Yeovil True"
"48","23168","Which competition has Olympiacos B.C. as its participant ?","2014–15 Euroleague","52402","Which release has association football as its record label ?","Yeovil True"
"49","23383","Who attended Siege of Kobanê ?","People Protection Units","52965","Which release has association football as its record label ?","Yeovil True"
"50","28397","Which scientific method has Yale University as its participant ?","Mu2e","2309","Which division is the record brand of Sinikka Langeland ?","ECM Records"
"51","28790","Which artist participated in World War I ?","Germany","3118","Which release has been sponsored by English for its recording ?","Radiosurgery"
"52","30340","Which recurring sporting event did Rob Harmeling participate in ?","1991 Tour de France","14744","Which release has been sponsored by English for its recording ?","Radiosurgery"
"53","31597","Who was the artist who participated in Battle of the Meander ?","Sultanate of Rum","20251","Which release has been sponsored by English for its recording ?","Radiosurgery"
"54","35824","What event did member of the German Bundestag particiate in ?","2010 German presidential election","29123","Which release has been sponsored by English for its recording ?","Radiosurgery"
"55","39125","Who attended Battle of Gettysburg ?","Confederate States of America","56900","Which release has been sponsored by English for its recording ?","Radiosurgery"
"56","43403","Which single-day race did Geraint Thomas participate in ?","2015 Gent–Wevelgem","58178","Which release has been sponsored by English for its recording ?","Radiosurgery"
"57","45262","What event did Germany women's national football team particiate in ?","2015 FIFA Women's World Cup","62334","Which release has been sponsored by English for its recording ?","Radiosurgery"
"58","45725","Which conflict has North Atlantic Treaty Organisation as its participant ?","NATO bombing of Yugoslavia","5279","Which division sponsored the recording of Resolution ?","Black Saint/Soul Note"
"59","47630","Which artist participated in Battle of Marathon ?","Achaemenid Empire","12663","Which album has BBC as its recording sponsor ?","A House: Live in Concert"
"60","49343","Which Japanese TV series has GeGeGe no Kitarō as its participant ?","66th NHK Kōhaku Uta Gassen","27535","What is the record label of Dying to Say This to You ?","WaterTower Music"
"61","55555","Which conflict was Special Air Service a participant of ?","Operation Barras","192","What is the ethnicity of Stanley Crouch ?","African Americans"
"62","57526","Which organization has European Space Agency as its participant ?","Consultative Committee for Space Data Systems","1339","Which people does Vladimir Putin have as his/her race ?","Russians"
"63","59362","Which cycling race class was Vincenzo Nibali a participant of ?","2015 Tour de France","1400","Who has Los Angeles as ethnic group ?","Rose Catherine Pinkney"
"64","63348","Which national association football team has Tomasz Jodłowiec as its participant ?","Poland at the UEFA Euro 2016","21611","Who has Los Angeles as ethnic group ?","Rose Catherine Pinkney"
"65","63495","Which artist participated in 2009–10 Ekstraklasa ?","Śląsk Wrocław","2248","Which ethnic group does Jesus Christ belong ?","Jews"
"66","574","Which person wrote the script for La bella Otero ?","La Belle Otero","3544","Which person has Lithuania as ethnic group ?","Arnold Hiatt"
"67","679","Who was the screenwriter for The Woman with a Broken Nose ?","Srđan Koljević","5090","Which people does Ukshin Hoti have as ethnic origin ?","Albanians"
"68","824","Who served as the screenwriter for Bande à part ?","Jean-Luc Godard","11166","What is the race of Sendhil Ramamurthy ?","Kannada people"
"69","1154","Who wrote the screenplay for Flirtation Walk ?","Delmer Daves","14393","Which person has Russia as his/her race ?","Andrej Kolomacký"
"70","1459","Who wrote the script for In Me ?","Laetitia Casta","20799","Which person has Russia as his/her race ?","Andrej Kolomacký"
"71","2217","Which work of art is Pablo Picasso a screenwriter of ?","The Mystery of Picasso","29373","Which administrative territory does Suicide of Phoebe Prince have as ethnic origin ?","Ireland"
"72","2725","Who was the screenwriter for Dead Birds ?","Peter Matthiessen","207","Which work of art has Hayao Miyazaki as cinematographer ?","The Wind Rises"
"73","6725","Who wrote the screenplay for One Long Winter Without Fire ?","Pierre-Pascal Rossi","819","Which person is the cinematographer of The Blues Brothers ?","Stephen Marshall Katz"
"74","7419","What is Brad Peyton a screwriter of ?","Evelyn: The Cutest Evil Dead Girl","1208","Which person serves as the director of photography for Circle of Iron ?","Ronnie Taylor"
"75","7700","Which work of art has José Ramón Larraz as screenwriter ?","Watch Out Gringo! Sabata Will Return","1325","Who is the director of photography for Magic Magic ?","Christopher Doyle"
