,Index,UID1,Ques1,Ans1,UID2,Ques2,Ans2
0,0,5,What does Luis Quijanes do for a living ?,association football player,41,Which geographic location is Leipzig located in ?,Eurasia
1,1,40,Which occupation has Jan Lechaba as his/her 's career ?,association football player,1399,Where is Los Angeles situated ?,North America
2,2,77,What is the job of Javier Garrido ?,association football player,4464,Where is Moscow located ?,Europe
3,3,88,Which occupation is the profession of Sieb Dijkstra ?,association football player,15141,Where is The Bahamas situated ?,North America
4,4,2453,What are the professions of Günter Stock ?,university teacher,31669,Where is Wappo language situated ?,North America
5,5,4239,Who has a job as France ?,Jean-Michel Verner,222,Who lives in Georgia ?,James Van Ness
6,6,7705,Which person has career as piano ?,Judith Jauregi,620,What was the place of residence of Cathy Muñoz ?,Juneau
7,7,10375,Which person has member of the French National Assembly as his/her means of employment ?,François Thibault de Ménonville,904,Where did Kelly Townsend live ?,Mesa
8,8,13179,Which person has the profession as France ?,Jean-Michel Verner,3741,Which person dwells at Finland ?,Xiao Zhong
9,9,50207,"What does Hugh, son of Charlemagne do for a living?",prince,4097,Where did Jeff King reside ?,Denali National Park and Preserve
10,10,3,What is the sex of Claude Mouton-Raimbault ?,male,7056,Which administrative territory was Andrea Dallavalle a resident of ?,Gossolengo
11,11,8,Which sex does Sterjo Spasse have ?,male,8043,Which person has residence at Tuvalu ?,Akelei Lima'alofa
12,12,50,Which sex does Cecilia Rognoni belong to ?,female,15299,Who resides at Saint-Étienne ?,Aravane Rezaï
13,13,1351,Which sex does Carlos cara de mono Muñoz possess ?,male,47846,Who lives in Braunschweig ?,Johann Joachim Christoph Bode
14,14,2738,Which sex does Fülöp Ö. Beck belong to ?,male,283,Which person has field of work as writer ?,Martin Andersen Nexø
15,15,4084,Which sex does William F. Shija belong to ?,male,693,Which person works in the domain of writer ?,Martin Andersen Nexø
16,16,6914,Which sex does Lebaudy Frères have ?,male,1149,Which person has his/her area as aircraft ?,Martti Vainio
17,17,11065,Which sex does Boris Lukitsch Laptew have ?,male,1408,Which person has specialisation in association football player ?,Akaki Devadze
18,18,14312,"Which sex does R. W. Apple, Jr. belong to ?",male,2972,Which discipline does Art Deco belong to ?,applied arts
19,19,14822,Which sex does Karin J Blakemore have ?,female,4055,What is the field of work of John Cale ?,music
20,20,15339,Which sex does Vasile Mogos have ?,male,7913,Which special field is the area of Enric Roig ?,musicology
21,21,21712,Which sex does Sergey Sivokho have ?,male,150,Where is the place of burial for Theodore Legrand Burnett located ?,Cave Hill Cemetery
22,22,33915,Which sex does Juri Alexandrowitsch Falik possess ?,male,263,Which organization is the tomb of James W. Horne ?,Forest Lawn Memorial Park
23,23,40228,Which sex does Jesús López-Cobos belong to ?,male,1715,Where was Ivan Nechuy-Levytsky buried ?,Baikove Cemetery
24,24,42021,Which sex does Dănuţ Prodan belong to ?,male,2101,Who has Zagreb as his/her tomb ?,Boris Šprem
25,25,43250,Which sex does Jakow Segel have ?,male,3908,Which person was burried at Russia ?,Nikolay Vtorov
26,26,45015,Which sex does Natalia Mărăşescu have ?,female,5181,"Which temple is the resting place of William Louis, Duke of Württemberg ?",Stiftskirche
27,27,46030,Which sex does Luis Chávez Orozco possess ?,male,8276,Which person has Nicosia as place of burial ?,Helvis of Brunswick-Grubenhagen
28,28,46959,Which sex does Shim Un-seob possess ?,male,59720,Where was Valentina Osejeva buried ?,Vagankovo Cemetery
29,29,48570,Which sex does Julie possess ?,female,59739,Where was Alexander Stepanovich Osipenko buried ?,Novodevichy Cemetery
30,30,49216,Which sex does Darko Velkoski possess ?,male,63294,Which person has Free Hanseatic City of Bremen as resting place ?,Bernhard Oelreich
31,31,51831,Which sex does T.J. Scott belong to ?,male,34,Which US administrative territory belongs to jurisdiction of member of the State Senate of Maine ?,Maine
32,32,53549,Which sex does Louis W. Tordella possess ?,male,1218,Which occupation presides the jurisdiction over Seville ?,mayor of Seville
33,33,55537,Which sex does Rashid Fagimovich Kalimullin belong to ?,male,2924,Which administrative territory comes under the supervision of member of the French National Assembly ?,France
34,34,56924,Which sex does Winthrop W. Aldrich possess ?,male,3143,Which political territory is linked to Member of the National Council of Austria ?,Austria
35,35,57058,Which sex does David Watt Ballantyne have ?,male,3441,Which occupation has control over the jurisdiction of Roman Catholic Church ?,archbishop of St Andrews
36,36,57579,Which sex does George Gebhardt belong to ?,male,18299,Which administrative territory applies to jurisdiction of Parliament of Sweden ?,Sweden
37,37,46,Where was Joseph Schillinger born ?,Kharkiv,18584,Which occupation has jurisdiction over Roman Catholic Church ?,archbishop of St Andrews
38,38,49,Which city is the birthplace of Cecilia Rognoni ?,Buenos Aires,253,Which is the highest peak of India ?,Kanchenjunga
39,39,70,Which administrative territory is the place of birth of Alexander Berkutov ?,Tomsk,624,What is the highest point of Vienna ?,Hermannskogel
40,40,98,Which administrative territory was Margravine Hedwig Sophie of Brandenburg born at ?,Berlin,718,Which is the zenith of Prague ?,Teleček
41,41,117,Which person has birthplace at Mercy-le-Bas ?,Daniel Ugolini,464,Which occupation is fulfilled by Barcelona ?,Mayor of Barcelona
