"Index","UID1","Ques1","Ans1","UID2","Ques2","Ans2"
"0","52","What does Krzysztof Michalski do for a living ?","association football player","247","Who is the patron saint of university teacher ?","Thomas Aquinas"
"1","53","Which occupation has Jacob Mellis as his/her 's career ?","association football player","15779","Who has France as their patron saint ?","Saint Remigius"
"2","102","What is the job of Shaun Brooks ?","association football player","34579","Who is Ursus of Aosta a patron saint of ?","Cogne"
"3","185","Which occupation is the profession of Fabio Pedrina ?","politician","4034","Which work was published by National Institute for Occupational Safety and Health ?","NIOSH Manual of Analytical Methods"
"4","6386","Who has a job as France ?","Jean-Michel Verner","4565","Which organization released Super Swing Golf ?","Tecmo"
"5","7860","What are the professions of Hans Hebra ?","university teacher","4997","Which organization published Pokémon ?","The Pokémon Company"
"6","12673","Which person has the profession as member of the French National Assembly ?","François Thibault de Ménonville","6079","Which collectable produced New York City ?","Hidden Ivies"
"7","19672","Which person has career as Democratic Party ?","Ruby Laffoon","6850","Who published Rise of the Dragon ?","Sierra Entertainment"
"8","33002","Which person has Doktor Nauk in Engineering as his/her means of employment ?","Yury Gushcho","7329","Which publication was issued by French Section of the Workers' International ?","Le Populaire"
"9","6","What is the sex of Luis Quijanes ?","male","8839","What is the name of profession which published Cipher Complex ?","Sega"
"10","19","Which sex does Roman Spitko belong to ?","male","8872","What was released by English ?","Narcissu"
"11","6187","Which sex does Carlos Eduardo Peruena Rodríguez possess ?","male","11040","Which software published Dancing Stage Fusion ?","Konami"
"12","56","Which administrative territory is the birthplace of Davide Martinelli ?","Brescia","18951","Which software released Super Smash Bros. Brawl ?","Nintendo"
"13","78","Which political territory is the place of birth of Javier Garrido ?","Irun","19930","Who released Cruise for a Corpse ?","Delphine Software International"
"14","126","Which administrative territory was Ticão born in ?","Curitiba","24673","Which collectable was published by United Nations Educational, Scientific and Cultural Organization ?","Guidelines for Open Educational Resources in Higher Education"
"15","174","Where was Daniel Tinayre born ?","Paris","37788","Which profession released Atari Anniversary Edition ?","Infogrames"
"16","602","Which place with town privileges was Eric Walter Elst born at ?","Mortsel","40298","Which application produced Microsoft Windows ?","Hyperbowl Plus! Edition"
"17","1387","Which person has birthplace at Hochfelden ?","Paul Stehlin","506","Which administrative territory does France women's national football team play for ?","France"
"18","11807","Who was born at Ailly-sur-Noye ?","Werner Roell","8813","Which political territory does Germany national football team represent ?","Germany"
"19","23479","Which person has place of birth as Mölten ?","Josef Schwarz","13258","Which administrative territory is represented by Slovakia national football team ?","Slovakia"
"20","26260","Who has location of birth at lion ?","Margarita Alexandre","15598","Whose national association football team is Dominican Republic ?","Dominican Republic women's national football team"
"21","87","Which administrative territory is the native country of Sieb Dijkstra ?","Kingdom of the Netherlands","21353","Who plays for Martinique ?","Martinique women's national football team"
"22","175","Which administrative territory does Darío Fernández belong to ?","Argentina","22835","Which political territory is played by Denmark national football team ?","Denmark"
"23","377","Which political territory is Hans Kaiser an inhabitant of ?","Germany","54879","Who represents Solomon Islands ?","Solomon Islands women's national football team"
"24","4020","Which state is the country of citizenship of Jacob de Gassion ?","Kingdom of Navarre","2849","Which transport company is the facility operator of Hyvinkää–Karis railway ?","Finnish State Railways"
"25","4720","Which state is Jens Woehrmann a civilian of ?","West Germany","3701","Who operates DB Class 23 ?","Deutsche Bundesbahn"
"26","58890","Who is a native of Mordor ?","Mouth of Sauron","9737","Which construction is the administrator of Denmark ?","Embassy of Denmark, London"
"27","59580","Which political territory does Helena of Constantinople belong to ?","ancient Rome","15707","Which organization was operated by Czech Republic ?","Česká televize"
"28","21","What was the sport that Egecan Çevir was a part of ?","football","17259","Which product was managed by Denmark ?","Meteor NF11"
"29","267","Which sport did Igor Degtyaryov participate in ?","football","23180","Who manages HMS Invincible ?","Royal Navy"
"30","25479","Which type of sport was Coen Vermeltfoort a part of?","road bicycle racing","35337","Which organization operates Smith Mountain Dam ?","American Electric Power"
"31","45119","Which sport did Bolivia national football team participate in ?","football","47046","Which sports venue can be described as service operator of Fenerbahçe ?","Şükrü Saracoğlu Stadium"
"32","43","Where did the expiration of Frans Blom occur ?","San Cristóbal de las Casas","51289","Which organization can manage MS Azura ?","P&O Cruises"
"33","449","Where did Clarence Pinkston expire ?","Detroit","1221","Which watercourse is situated close to Moscow ?","Moskva River"
"34","538","Which french administrative division is the place of death of Andrés Mellado Fernández ?","Biarritz","3270","Which body of water is located next to Lemnos ?","Aegean Sea"
