"Index","UID1","Ques1","Ans1","UID2","Ques2","Ans2"
"0","5","What does Luis Quijanes do for a living ?","association football player","3291","Which nucleic acid sequence encodes glycyl-tRNA synthetase subunit beta    SAG0270 ?","glycyl-tRNA synthetase subunit beta SAG0270"
"1","40","Which occupation has Jan Lechaba as his/her 's career ?","association football player","3342","What does TetR family transcriptional regulator    VCA0767 encode ?","TetR family transcriptional regulator VCA0767"
"2","52","What does Krzysztof Michalski do for a living ?","association football player","3900","Which nucleic acid sequence encodes FKBP-type peptidyl-prolyl cis-trans isomerase    HI0574 ?","FKBP-type peptidyl-prolyl cis-trans isomerase HI0574"
"3","53","Which occupation has Jacob Mellis as his/her 's career ?","association football player","3966","What is the nucleic acid sequence that is encoded by Ino4p YOL108C ?","INO4"
"4","77","What is the job of Javier Garrido ?","association football player","3981","What is the nucleic acid sequence that is encoded by Apoptosis regulator Bcl-2 ?","BCL2"
"5","88","Which occupation is the profession of Sieb Dijkstra ?","association football player","103","Who has Shaun Brooks as an offspring ?","Johnny Brooks"
"6","102","What is the job of Shaun Brooks ?","association football player","374","Which person is an offspring of Anatolij Ivanovič Barjatinskij ?","Vladimir Baryatinsky"
"7","185","Which occupation is the profession of Fabio Pedrina ?","politician","393","Who has Arthur Blomfield as a child ?","Charles Blomfield"
"8","268","What does Igor Degtyaryov do for a living ?","association football player","601","Which person is a successor of Antonino Repaci ?","Gabriella Rèpaci-Courtois"
"9","325","What does Janus van Merrienboer do for a living ?","archer","619","Who has Stateira as an offspring ?","Hidarnes III"
"10","356","What is the profession of Walter R. Cooney, Jr. ?","astronomer","812","Who is an offspring of Sir William Lemon, 1st Baronet ?","Charles Lemon"
"11","360","Which occupation is the profession of Hiroshi Miyazawa ?","association football player","1141","Who has Kurt Liebknecht as an offspring ?","Otto Liebknecht"
"12","394","What is the profession of Charles Blomfield ?","priest","1374","Who is a child of Matthew Richey ?","Matthew Henry Richey"
"13","402","Which occupation has Josef Böhm as his/her 's career ?","politician","1664","Which person has Moshe Sharett as a child ?","Yacov Shertok"
"14","418","What does Louis Chéron do for a living ?","painter","1748","Which fictional humanoid is a child of Tywin Lannister ?","Cersei Lannister"
"15","425","Which occupation is the profession of Juan José Gómez ?","military personnel","2011","Which person is a child of Sergio Mattarella ?","Bernardo Giorgio Mattarella"
"16","438","What is the profession of Norbert Erdős ?","politician","2093","Which person has Martin Hilský as a child ?","Václav Hilský"
"17","445","What is the job of Petr Konečný ?","volleyball player","2492","Which person has Anna Ruysch as a child ?","Frederik Ruysch"
"18","452","Which concept is the profession of Tom House ?","baseball player","2695","Which person is a child of Dino Risi ?","Claudio Risi"
"19","476","What is the job of Enrique Peña Nieto ?","politician","2754","Whose child is Duke Ferdinand Frederick Augustus of Württemberg ?","Frederick II Eugene, Duke of Württemberg"
"20","537","What does Andrés Mellado Fernández do for a living ?","politician","2921","Which person is an offspring of Waltheof, Earl of Northumbria ?","Maud, Countess of Huntingdon"
"21","543","What is the job of Christian Mignon ?","association football manager","2958","Who is a child of Lockroy ?","Édouard Lockroy"
"22","586","What does Patrik Wozniacki do for a living ?","association football player","3153","Who has Richard von Weizsäcker as a child ?","Ernst von Weizsäcker"
"23","629","What is the profession of Charles de Vendeville ?","water polo player","3382","Who has Otto Silfverschiöld as a child ?","Carl Otto Silfverschiöld"
"24","643","What is the job of Ludmila Anokina ?","athletics competitor","3586","Which Middle-earth races is a child of Rorimac Brandybuck ?","Saradoc Brandybuck"
"25","653","Which occupation has Miki Hirayama as his/her 's career ?","singer","3637","Who is a child of Fletcher Christian ?","Thursday October Christian I"
"26","703","What is the job of Jerónimo Ardid ?","jurist","3733","Which person is an offspring of Johann Dominicus Fiorillo ?","Johann Wilhelm Raphael Fiorillo"
"27","710","Which occupation has Gustav Bischof as his/her 's career ?","chemist","4530","Who is a child of Oleh Blokhin ?","Ireesha"
"28","715","What is the profession of Maurice Gleize ?","poet","4740","Who is a child of Siegmund Freudenberg ?","Max S. Freudenberg"
"29","735","What is the job of Georg Tischler ?","athletics competitor","4879","Which person has Beuno as a child ?","Saint Bugi"
